Game,Console,Developer,Publisher,Release_Date,Sales
Super Mario Party,Switch,NDcube,Nintendo,"October 5, 2018",20340000
The Legend of Zelda: Tears of the Kingdom,Switch,Nintendo EPD,Nintendo,"May 12, 2023",20280000
New Super Mario Bros. U Deluxe,Switch,Nintendo EPD,Nintendo,"January 11, 2019",17200000
Ring Fit Adventure,Switch,Nintendo EPD,Nintendo,"October 18, 2019",15380000
"Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!",Switch,Game Freak,The Pokémon CompanyNintendo,"November 16, 2018",15070000
Pokémon Brilliant Diamond and Shining Pearl,Switch,ILCA,The Pokémon CompanyNintendo,"November 19, 2021",15060000
Pokémon Legends: Arceus,Switch,Game Freak,The Pokémon CompanyNintendo,"January 28, 2022",14830000
Luigi's Mansion 3,Switch,Next Level Games,Nintendo,"October 31, 2019",13980000
Splatoon 2,Switch,Nintendo EPD,Nintendo,"July 21, 2017",13600000
Super Mario 3D World + Bowser's Fury,Switch,Nintendo EPD,Nintendo,"February 12, 2021",13170000
Nintendo Switch Sports,Switch,Nintendo EPD,Nintendo,"April 29, 2022",12480000
Mario Party Superstars,Switch,NDcube,Nintendo,"October 29, 2021",12310000
Super Mario Bros. Wonder,Switch,Nintendo EPD,Nintendo,"October 20, 2023",11960000
Splatoon 3,Switch,Nintendo EPD,Nintendo,"September 9, 2022",11710000
Super Mario 3D All-Stars,Switch,Nintendo,Nintendo,"September 18, 2020",9070000
Super Mario Maker 2,Switch,Nintendo EPD,Nintendo,"June 28, 2019",8420000
Monster Hunter Rise,Switch,Capcom,Capcom,"March 26, 2021",7700000
Suika Game,Switch,Aladdin X,Aladdin X,"December 9, 2021",7000000
Kirby and the Forgotten Land,Switch,HAL Laboratory,Nintendo,"March 25, 2022",6960000
The Legend of Zelda: Link's Awakening,Switch,Grezzo,Nintendo,"September 20, 2019",6460000
Minecraft,Switch,Mojang,JP: Xbox Game StudiosNA/PAL: Mojang,"May 11, 2017",5570000
Clubhouse Games: 51 Worldwide Classics,Switch,NDcube,Nintendo,"June 5, 2020",4640000
Donkey Kong Country: Tropical Freeze,Switch,Retro Studios,Nintendo,"May 4, 2018",4620000
Mario Tennis Aces,Switch,Camelot Software Planning,Nintendo,"June 22, 2018",4500000
Kirby Star Allies,Switch,HAL Laboratory,Nintendo,"March 16, 2018",4380000
The Legend of Zelda: Skyward Sword HD,Switch,Tantalus Media,Nintendo,"July 16, 2021",4150000
Fire Emblem: Three Houses,Switch,Intelligent SystemsKoei Tecmo,Nintendo,"July 26, 2019",4120000
Hyrule Warriors: Age of Calamity,Switch,Omega Force,JP: Koei TecmoNA/PAL: Nintendo,"November 20, 2020",4000000
"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!",Switch,Konami,JP: Konami,"November 19, 2020",4000000
1-2-Switch,Switch,Nintendo EPD,Nintendo,"March 3, 2017",3740000
Paper Mario: The Origami King,Switch,Intelligent Systems,Nintendo,"July 17, 2020",3470000
Yoshi's Crafted World,Switch,Good-Feel,Nintendo,"March 29, 2019",3350000
Pikmin 4,Switch,Nintendo EPD,Nintendo,"July 21, 2023",3330000
Among Us,Switch,Innersloth,Innersloth,"December 15, 2020",3200000
Super Mario RPG,Switch,ArtePiazza,Nintendo,"November 17, 2023",3140000
Metroid Dread,Switch,MercurySteamNintendo EPD,Nintendo,"October 8, 2021",3070000
Mario + Rabbids Sparks of Hope,Switch,Ubisoft ParisUbisoft Milan,NA/PAL: Ubisoft JP: Nintendo,"October 20, 2022",3000000
New Pokémon Snap,Switch,Bandai Namco Studios,JP: The Pokémon CompanyNA/PAL: Nintendo,"April 30, 2021",2740000
Arms,Switch,Nintendo EPD,Nintendo,"June 16, 2017",2720000
Xenoblade Chronicles 2,Switch,Monolith Soft,Nintendo,"December 1, 2017",2700000
Mario Strikers: Battle League,Switch,Next Level Games,Nintendo,"June 10, 2022",2540000
Mario Golf: Super Rush,Switch,Camelot Software Planning,Nintendo,"June 25, 2021",2480000
Dragon Ball FighterZ,Switch,Arc System Works,Bandai Namco Entertainment,"September 27, 2018",2430000
Pikmin 3 Deluxe,Switch,Eighting,Nintendo,"October 30, 2020",2400000
Captain Toad: Treasure Tracker,Switch,Nintendo EPD,Nintendo,"July 13, 2018",2350000
Taiko no Tatsujin: Drum 'n' Fun!,Switch,Bandai Namco Studios,Bandai Namco Entertainment,"July 19, 2018",2270000
Octopath Traveler,Switch,Square EnixAcquire,JP: Square EnixNA/PAL: Nintendo,"July 13, 2018",2160000
Mario + Rabbids Kingdom Battle,Switch,Ubisoft ParisUbisoft Milan,NA/PAL: UbisoftJP/KOR: Nintendo[28],"August 29, 2017",2000000
Pokémon Mystery Dungeon: Rescue Team DX,Switch,Spike Chunsoft,Nintendo,"March 6, 2020",1990000
Big Brain Academy: Brain vs. Brain,Switch,"Nintendo EPD, indieszero",Nintendo,"December 3, 2021",1940000
Xenoblade Chronicles: Definitive Edition,Switch,Monolith Soft,Nintendo,"May 29, 2020",1880000
Xenoblade Chronicles 3,Switch,Monolith Soft,Nintendo,"July 29, 2022",1860000
Dragon Ball Xenoverse 2,Switch,Dimps,Bandai Namco Entertainment,"September 7, 2017",1820000
Miitopia,Switch,Grezzo,Nintendo,"May 21, 2021",1790000
Mario Kart Live: Home Circuit,Switch,Velan Studios,Nintendo,"October 16, 2020",1730000
Naruto Shippudden: Ultimate Ninja Storm Trilogy,Switch,CyberConnect2,Bandai Namco Entertainment,"July 27, 2017",1730000
Fire Emblem Engage,Switch,Intelligent Systems,Nintendo,"January 20, 2023",1610000
Marvel Ultimate Alliance 3: The Black Order,Switch,Team Ninja,Nintendo,"July 19, 2019",1600000
Pokkén Tournament DX,Switch,Bandai Namco Studios,JP: The Pokémon CompanyNA/PAL: Nintendo,"September 22, 2017",1540000
Kirby's Return to Dream Land Deluxe,Switch,HAL Laboratory,Nintendo,"February 24, 2023",1460000
Nintendo Labo Toy-Con 01: Variety Kit,Switch,Nintendo EPD,Nintendo,"April 20, 2018",1420000
Resident Evil: Revelations Collection,Switch,Capcom,Capcom,"November 27, 2017",1400000
WarioWare: Get It Together!,Switch,Intelligent Systems,Nintendo,"September 10, 2021",1340000
Astral Chain,Switch,PlatinumGames,Nintendo,"August 30, 2019",1330000
Dr Kawashima's Brain Training for Nintendo Switch,Switch,"Nintendo EPD, indieszero",Nintendo,"December 27, 2019",1270000
Bayonetta,Switch,PlatinumGames,Nintendo,"February 16, 2018",1240000
Bayonetta 2,Switch,PlatinumGames,Nintendo,"February 16, 2018",1230000
Dark Souls Remastered,Switch,FromSoftware,Bandai Namco Entertainment,"October 19, 2018",1150000
Game Builder Garage,Switch,Nintendo EPD,Nintendo,"June 11, 2021",1150000
Shin Megami Tensei V,Switch,Atlus,JP: AtlusNA: SegaPAL: Nintendo,"November 11, 2021",1100000
Metroid Prime Remastered,Switch,Retro Studios,Nintendo,"February 8, 2023",1090000
Bayonetta 3,Switch,PlatinumGames,Nintendo,"October 28, 2022",1070000
Mario & Sonic at the Olympic Games Tokyo 2020,Switch,Sega,Sega,"November 1, 2019",1020000
Dragon Quest Monsters: The Dark Prince,Switch,Tose,Square Enix,"December 1, 2023",1000000
Enter the Gungeon,Switch,Dodge Roll,Devolver Digital,"December 14, 2017",1000000
Fire Emblem Warriors: Three Hopes,Switch,Omega Force,JP: Koei TecmoNA/PAL: Nintendo,"June 24, 2022",1000000
Fitness Boxing,Switch,Imagineer,JP: ImagineerNA/PAL: Nintendo,"December 20, 2018",1000000
Fitness Boxing 2: Rhythm and Exercise,Switch,Imagineer,JP: ImagineerNA/PAL: Nintendo,"December 4, 2020",1000000
Momotaro Dentetsu World: Chikyuu wa Kibou de Mawatteru!,Switch,Konami,JP: Konami,"November 16, 2023",1000000
Story of Seasons: Pioneers of Olive Town,Switch,Marvelous,Xseed Games,"February 25, 2021",1000000
Thief Simulator,Switch,Noble Muffins,Forever Entertainment,"May 19, 2019",1000000
