Game,Console,Developer,Publisher,Release_Date,Sales
Mario Party,N64,Hudson Soft,Nintendo,"December 18, 1998",2700000
Star Wars: Shadows of the Empire †,N64,LucasArts,Nintendo,"December 3, 1996",2600000
Pokémon Stadium 2,N64,Nintendo EAD,Nintendo,"December 14, 2000",2540000
Perfect Dark †,N64,Rare,Rare,"May 22, 2000",2520000
Mario Party 2,N64,Hudson Soft,Nintendo,"December 17, 1999",2480000
Mario Tennis,N64,Camelot Software Planning,Nintendo,"July 21, 2000",2320000
Star Wars: Rogue Squadron,N64,Factor 5LucasArts,Nintendo,"December 7, 1998",2170000
1080° Snowboarding †,N64,Nintendo EAD,Nintendo,"February 28, 1998",2030000
Excitebike 64,N64,Left Field Productions,Nintendo,"April 30, 2000",2000000
Mario Party 3,N64,Hudson Soft,Nintendo,"December 7, 2000",1910000
WCW/nWo Revenge,N64,AKI CorporationAsmik Ace Entertainment,THQ,"October 26, 1998",1880000
"Hey You, Pikachu! †",N64,Ambrella,Nintendo,"December 12, 1998",1830000
Kirby 64: The Crystal Shards,N64,HAL Laboratory,Nintendo,"March 24, 2000",1770000
Cruis'n USA,N64,Williams,Nintendo,"December 3, 1996",1720000
Tony Hawk's Pro Skater,N64,Edge of Reality,Activision,"February 29, 2000",1610000
F-1 World Grand Prix †,N64,Paradigm Entertainment,Nintendo,"July 31, 1998",1600000
Turok: Dinosaur Hunter,N64,Iguana Entertainment,Acclaim Entertainment,"March 4, 1997",1500000
Banjo-Tooie,N64,Rare,Nintendo,"November 20, 2000",1490000
Mario Golf,N64,Camelot Software Planning,Nintendo,"June 11, 1999",1470000
Turok 2: Seeds of Evil,N64,Iguana Entertainment,Acclaim Entertainment,"October 21, 1998",1400000
Paper Mario,N64,Intelligent Systems,Nintendo,"August 11, 2000",1370000
WCW vs. nWo: World Tour,N64,AKI CorporationAsmik Ace Entertainment,THQ,"November 30, 1997",1300000
Kobe Bryant in NBA Courtside,N64,Left Field Productions,Nintendo,"April 27, 1998",1190000
WWF No Mercy,N64,AKI CorporationAsmik Ace Entertainment,THQ,"November 17, 2000",1190000
Jet Force Gemini,N64,Rare,Rare,"October 11, 1999",1160000
WWF WrestleMania 2000,N64,AKI CorporationAsmik Ace Entertainment,THQ,"October 12, 1999",1140000
Pilotwings 64,N64,Nintendo EADNintendo R&D3Paradigm Entertainment,Nintendo,"June 23, 1996",1120000
F-Zero X,N64,Nintendo EAD,Nintendo,"July 14, 1998",1100000
Pocket Monsters' Stadium,N64,Nintendo EADHAL Laboratory,Nintendo,"August 1, 1998",1094765
007: The World Is Not Enough,N64,Eurocom,Electronic Arts,"October 17, 2000",1080000
Namco Museum 64,N64,Mass Media Games,Namco,"October 31, 1999",1040000
Bomberman 64,N64,Hudson Soft,JP: Hudson SoftWW: Nintendo,"September 26, 1997",1000000
Bomberman Hero,N64,A.I,JP: Hudson SoftWW: Nintendo,"April 30, 1998",1000000
Waialae Country Club: True Golf Classics,N64,T&E Soft,Nintendo,"July 27, 1998",1000000
Super Smash Bros. Melee,GC,HAL Laboratory,Nintendo,"November 21, 2001",7410000
Mario Kart: Double Dash,GC,Nintendo EAD,Nintendo,"November 7, 2003",6960000
Super Mario Sunshine,GC,Nintendo EAD,Nintendo,"July 19, 2002",5910000
The Legend of Zelda: The Wind Waker,GC,Nintendo EAD,Nintendo,"December 13, 2002",4430000
Luigi's Mansion,GC,Nintendo EAD,Nintendo,"September 14, 2001",3330000
Metroid Prime,GC,Retro Studios,Nintendo,"November 17, 2002",2840000
Animal Crossing,GC,Nintendo EAD,Nintendo,"December 14, 2001",2710000
Mario Party 4,GC,Hudson Soft,Nintendo,"October 21, 2002",2460000
Pokémon Colosseum,GC,Genius Sonority,NintendoThe Pokémon Company,"November 21, 2003",2410000
Mario Party 5,GC,Hudson Soft,Nintendo,"November 10, 2003",2170000
Mario Party 7,GC,Hudson Soft,Nintendo,"November 7, 2005",2080000
Paper Mario: The Thousand-Year Door,GC,Intelligent Systems,Nintendo,"July 22, 2004",1910000
Star Fox Adventures,GC,Rare,Nintendo,"September 23, 2002",1820000
Sonic Adventure 2: Battle,GC,Sonic Team USA,Sega,"December 20, 2001",1730000
Mario Party 6,GC,Hudson Soft,Nintendo,"November 18, 2004",1630000
Pikmin,GC,Nintendo EAD,Nintendo,"October 26, 2001",1600000
Resident Evil 4,GC,Capcom Production Studio 4,Capcom,"January 11, 2005",1600000
Sonic Adventure DX: Director's Cut,GC,Sonic Team,Sega,"June 18, 2003",1600000
Super Mario Strikers,GC,Next Level Games,Nintendo,"November 18, 2005",1600000
The Legend of Zelda: Twilight Princess,GC,Nintendo EAD,Nintendo,"December 2, 2006",1430000
Pokémon XD: Gale of Darkness,GC,Genius Sonority,NintendoThe Pokémon Company,"August 4, 2005",1420000
Sonic Heroes,GC,Sonic Team,Sega,"December 30, 2003",1420000
Sonic Mega Collection,GC,Sonic Team,Sega,"November 10, 2002",1370000
Resident Evil,GC,Capcom Production Studio 4,Capcom,"March 22, 2002",1350000
Kirby Air Ride,GC,HAL Laboratory,Nintendo,"July 11, 2003",1350000
Final Fantasy Crystal Chronicles,GC,The Game Designers Studio,Nintendo,"August 8, 2003",1300000
Mario Golf: Toadstool Tour,GC,Camelot Software Planning,Nintendo,"July 28, 2003",1270000
Resident Evil Zero,GC,Capcom,Capcom,"November 12, 2002",1250000
Donkey Konga,GC,Namco,Nintendo,"December 12, 2003",1180000
Mario Power Tennis,GC,Camelot Software Planning,Nintendo,"October 28, 2004",1160000
Star Wars Rogue Squadron II: Rogue Leader,GC,Factor 5,LucasArts,"November 18, 2001",1130000
Pikmin 2,GC,Nintendo EAD,Nintendo,"April 29, 2004",1120000
Metroid Prime 2: Echoes,GC,Retro Studios,Nintendo,"November 15, 2004",1100000
Soulcalibur II,GC,Namco,Namco,"March 27, 2003",1090000
Star Fox: Assault,GC,Namco,Nintendo,"February 14, 2005",1060000
Mario Superstar Baseball,GC,Namco,Nintendo,"July 21, 2005",1050000
Sonic Gems Collection,GC,Sonic Team,Sega,"August 11, 2005",1000000
Wii Sports †,Wii,Nintendo EAD (Group 2),Nintendo,"November 19, 2006",82900000
Mario Kart Wii †,Wii,Nintendo EAD (Group 1),Nintendo,"April 10, 2008",37380000
Wii Sports Resort †,Wii,Nintendo EAD (Group 2),Nintendo,"June 25, 2009",33140000
New Super Mario Bros. Wii †,Wii,Nintendo EAD (Group 4),Nintendo,"November 12, 2009",30320000
Wii Play,Wii,Nintendo EAD (Group 2),Nintendo,"December 2, 2006",28020000
Wii Fit,Wii,Nintendo EAD (Group 5),Nintendo,"December 1, 2007",22670000
Wii Fit Plus,Wii,Nintendo EAD (Group 5),Nintendo,"October 1, 2009",21130000
Super Smash Bros. Brawl,Wii,Sora Ltd.ad hoc development team[c],Nintendo,"January 31, 2008",13320000
Super Mario Galaxy,Wii,Nintendo EAD (Group 1),Nintendo,"November 1, 2007",12800000
Just Dance 3,Wii,Ubisoft Paris,Ubisoft,"October 7, 2011",9920000
Wii Party,Wii,Nd CubeNintendo SPD (Group 4),Nintendo,"July 8, 2010",9350000
Mario Party 8,Wii,Hudson Soft,Nintendo,"May 29, 2007",8850000
The Legend of Zelda: Twilight Princess,Wii,Nintendo EAD (Group 3),Nintendo,"November 19, 2006",7500000
Super Mario Galaxy 2,Wii,Nintendo EAD (Group 1),Nintendo,"May 23, 2010",7410000
Mario & Sonic at the Olympic Games,Wii,Sega Sports R&D,JP: NintendoNA/PAL: Sega,"November 6, 2007",7090000
Donkey Kong Country Returns,Wii,Retro Studios,Nintendo,"November 21, 2010",6530000
Mario & Sonic at the Olympic Winter Games,Wii,Sega Sports R&D,JP: NintendoNA/PAL: Sega,"November 5, 2009",6530000
Link's Crossbow Training,Wii,Nintendo EAD (Group 3),Nintendo,"November 19, 2007",5790000
Lego Star Wars: The Complete Saga,Wii,Traveller's Tales,LucasArts,"November 6, 2007",5510000
Just Dance 2,Wii,Ubisoft Paris,Ubisoft,"October 12, 2010",5000000
Animal Crossing: City Folk,Wii,Nintendo EAD (Group 2),Nintendo,"November 16, 2008",4320000
Just Dance,Wii,Ubisoft Paris,Ubisoft,"November 17, 2009",4300000
Super Paper Mario,Wii,Intelligent Systems,Nintendo,"April 9, 2007",4230000
The Legend of Zelda: Skyward Sword,Wii,Nintendo EAD (Group 3),Nintendo,"November 18, 2011",3670000
Big Brain Academy: Wii Degree,Wii,Nintendo EAD (Group 4),Nintendo,"April 26, 2007",3340000
